Summary Report
Sample ID	K:FlameCont Abs.	K:FlameCont Conc.	K:FlameCont Actual Conc.	K:FlameCont Actual Conc. Unit
BD03-6	0.4043	5.2826	15.8477	mg/L
BC15-6	0.4096	5.4089	16.2266	mg/L
BB13-6	0.4274	5.8418	17.5255	mg/L
BA09-6	0.3847	4.8253	14.4760	mg/L
BD07-6	0.3736	4.5728	13.7185	mg/L
BC08-6	0.4039	5.2731	15.8193	mg/L
BB10-6	0.4123	5.4736	16.4209	mg/L
BA04-6	0.3798	4.7133	14.1400	mg/L
BD14-6	0.3979	5.1316	15.3949	mg/L
BC06-6	0.4100	5.4184	16.2553	mg/L
BB02-6	0.4317	5.9486	17.8458	mg/L
BA01-6	0.6253	12.3386221	61.6931104	mg/L
RA01-62	0.6590	14.2620	42.7859	mg/L
RA12-62	0.6556	14.0340	42.1020	mg/L
RA05-62	0.5566	9.5622	28.6866	mg/L
BA04-62	0.6543	13.9496	41.8487	mg/L
BA09-62	0.6366	12.9154	38.7463	mg/L
BA01-62	0.6318	12.6640	37.9920	mg/L
BD03-8	0.4082	5.3754	16.1262	mg/L
BC15-8	0.4429	6.2308	18.6925	mg/L
BB02-8	0.5154	8.2353	24.7059	mg/L
BA04-8	0.5020	7.8377	23.5130	mg/L
BD07-8	0.3691	4.4717	13.4151	mg/L
BC08-8	0.4614	6.7112	20.1336	mg/L
BB10-8	0.4979	7.7188	23.1564	mg/L
BA01-8	0.4624	6.7377	20.2131	mg/L
BD14-8	0.4216	5.6992	17.0976	mg/L
BC06-8	0.4404	6.1673	18.5019	mg/L
BB13-8	0.5172	8.2898	24.8695	mg/L
BA09-8	0.4975	7.7073	23.1218	mg/L
BA09-41	0.6358	12.8728	38.6184	mg/L
BA01-41	0.6368	12.9261	38.7784	mg/L
BA04-41	0.6312	12.6333	37.8998	mg/L
BA01-48	0.6369	12.9315	38.7944	mg/L
BA09-48	0.5972	11.0844	33.2533	mg/L
BA04-48	0.6310	12.6230	37.8691	mg/L
BA01-55	0.6370	12.9368	38.8105	mg/L
BA09-55	0.6232	12.2368	36.7105	mg/L
BA04-55	0.6406	13.1332	39.3995	mg/L
RA12-22	0.3009	7.8995	39.4973	mg/L
RB14-22	0.2911	7.3843	36.9215	mg/L
RC15-22	0.2949	7.5796	37.8980	mg/L
RD08-22	0.2407	5.1671	25.8357	mg/L
RA05-22	0.2825	6.9606	34.8031	mg/L
RB07-22	0.2820	6.9367	34.6835	mg/L
RC13-22	0.2717	6.4595	32.2976	mg/L
RD10-22	0.2339	4.9065	24.5327	mg/L
RA01-22	0.2916	7.4097	37.0485	mg/L
RB02-22	0.2701	6.3879	31.9393	mg/L
RC09-22	0.2686	6.3212	31.6062	mg/L
RD06-22	0.2353	4.9596	24.7981	mg/L
BD14-17	0.2054	3.8827	19.4137	mg/L
BC06-17	0.2515	5.5964	27.9821	mg/L
BB02-17	0.2468	5.4071	27.0357	mg/L
BA04-17	0.2660	6.2070	31.0351	mg/L
BD03-17	0.2073	3.9479	19.7397	mg/L
BC15-17	0.2217	4.4557	22.2784	mg/L
BB13-17	0.2637	6.1073	30.5363	mg/L
BD07-17	0.1975	3.6157	18.0787	mg/L
BC08-17	0.2423	5.2295	26.1475	mg/L
BB10-17	0.2555	5.7607	28.8034	mg/L
BA01-17	0.2671	6.2552	31.2758	mg/L
RA01-10	0.2890	7.2786	36.3930	mg/L
RB07-10	0.2870	7.1793	35.8966	mg/L
RC13-10	0.2536	5.6823	28.4114	mg/L
RD10-10	0.1902	3.3747	16.8733	mg/L
RA03-10	0.2798	6.8323	34.1616	mg/L
RB14-10	0.2814	6.9081	34.5405	mg/L
RC15-10	0.2677	6.2815	31.4077	mg/L
RD08-10	0.1971	3.6024	18.0120	mg/L
RA12-10	0.2783	6.7620	33.8098	mg/L
RB02-10	0.2676	6.2771	31.3857	mg/L
RC09-10	0.2594	5.9238	29.6190	mg/L
RD06-10	0.1931	3.4698	17.3490	mg/L
RA12-1	0.1850	3.2060	16.0301	mg/L
RB02-1	0.1833	3.1514	15.7571	mg/L
RC13-1	0.2113	4.0865	20.4327	mg/L
RD06-1	0.2416	5.2022	26.0108	mg/L
RA05-1	0.1720	2.7949	13.9745	mg/L
RB14-1	0.1984	3.6458	18.2292	mg/L
RC09-1	0.1862	3.2447	16.2235	mg/L
RD08-1	0.1926	3.4533	17.2667	mg/L
RA01-1	0.1944	3.5127	17.5636	mg/L
RB07-1	0.1788	3.0081	15.0407	mg/L
RC15-1	0.2120	4.1110	20.5549	mg/L
RD10-1	0.1760	2.9199	14.5993	mg/L
BA04-4	0.2104	4.0552	20.2760	mg/L
BB10-4	0.1753	2.8979	14.4895	mg/L
BC08-4	0.1859	3.2350	16.1751	mg/L
BD14-4	0.1942	3.5061	17.5306	mg/L
BA01-4	0.1844	3.1867	15.9336	mg/L
BB02-4	0.1843	3.1835	15.9175	mg/L
BC06-4	0.1863	3.2479	16.2397	mg/L
BD07-4	0.2043	3.8452	19.2258	mg/L
BA09-4	0.1995	3.6827	18.4136	mg/L
BB13-4	0.1909	3.3975	16.9877	mg/L
BC15-4	0.1906	3.3877	16.9387	mg/L
BD03-4	0.2026	3.7874	18.9368	mg/L
RD06-7	0.1933	3.4764	17.3820	mg/L
RC13-7	0.2385	5.0820	25.4102	mg/L
RB02-7	0.2527	5.6454	28.2269	mg/L
RA01-7	0.2490	5.4953	27.4763	mg/L
RD08-7	0.1936	3.4863	17.4315	mg/L
RC09-7	0.2574	5.8398	29.1988	mg/L
RB07-7	0.2807	6.8749	34.3743	mg/L
RA05-7	0.2497	5.5235	27.6173	mg/L
RD01-7	0.1881	3.3062	16.5312	mg/L
RC15-7	0.2537	5.6864	28.4319	mg/L
RB14-7	0.2743	6.5773	32.8865	mg/L
RA12-7	0.2523	5.6290	28.1452	mg/L
BA09-10	0.2580	5.8649	29.3245	mg/L
BB10-10	0.2500	5.5356	27.6779	mg/L
BC08-10	0.2343	4.9217	24.6084	mg/L
BD03-10	0.1820	3.1098	15.5492	mg/L
BA04-10	0.2521	5.6209	28.1043	mg/L
BB02-10	0.2593	5.9196	29.5979	mg/L
BC15-10	0.2399	5.1361	25.6805	mg/L
BD14-10	0.1764	2.9324	14.6622	mg/L
BA01-10	0.2447	5.3238	26.6191	mg/L
BB13-10	0.2541	5.7028	28.5142	mg/L
BC06-10	0.2071	3.9411	19.7053	mg/L
BD07-10	0.1618	2.4821	12.4103	mg/L
BA09-1	0.2214	4.4449	22.2243	mg/L
BB02-1	0.1883	3.3127	16.5637	mg/L
BC15-1	0.2104	4.0552	20.2760	mg/L
BD14-1	0.2129	4.1425	20.7124	mg/L
BA04-1	0.2189	4.3550	21.7750	mg/L
BB13-1	0.2175	4.3050	21.5251	mg/L
BC06-1	0.2052	3.8759	19.3795	mg/L
BD03-1	0.2059	3.8999	19.4993	mg/L
BA01-1	0.2148	4.2093	21.0466	mg/L
BB10-1	0.2102	4.0482	20.2412	mg/L
BC08-1	0.2105	4.0587	20.2934	mg/L
BD07-1	0.2025	3.7840	18.9198	mg/L
RA01-17	0.2780	6.7480	33.7398	mg/L
RB14-17	0.2696	6.3656	31.8280	mg/L
RC09-17	0.2592	5.9154	29.5768	mg/L
RD06-17	0.1985	3.6492	18.2459	mg/L
RA05-17	0.2788	6.7853	33.9267	mg/L
RB07-17	0.2672	6.2596	31.2978	mg/L
RC13-17	0.2587	5.8943	29.4715	mg/L
RD08-17	0.1973	3.6091	18.0454	mg/L
RA12-17	0.2710	6.4281	32.1405	mg/L
RB02-17	0.2712	6.4371	32.1853	mg/L
RC15-17	0.2520	5.6168	28.0839	mg/L
RD10-17	0.2043	3.8452	19.2258	mg/L
RD08-4	0.2183	4.3335	21.6677	mg/L
RC13-4	0.2039	3.8315	19.1577	mg/L
RB07-4	0.2155	4.2340	21.1702	mg/L
RA01-4	0.2457	5.3634	26.8170	mg/L
RD10-4	0.2083	3.9824	19.9121	mg/L
RC09-4	0.4039	*****	*****	mg/L
RB14-4	0.2452	5.3436	26.7180	mg/L
RA05-4	0.2471	5.4191	27.0956	mg/L
RD06-4	0.2125	4.1285	20.6423	mg/L
RC15-4	0.2047	3.8588	19.2941	mg/L
RB02-4	0.2116	4.0970	20.4850	mg/L
RA12-4	0.2567	5.8105	29.0527	mg/L
BA01-22	0.2828	6.9750	34.8750	mg/L
BB02-22	0.2588	5.8985	29.4925	mg/L
BC08-22	0.2514	5.5924	27.9618	mg/L
BD03-22	0.2296	4.7453	23.7264	mg/L
BA09-22	0.2743	6.5773	32.8865	mg/L
BB13-22	0.2672	6.2596	31.2978	mg/L
BC15-22	0.2577	5.8523	29.2616	mg/L
BD07-22	0.2245	4.5574	22.7869	mg/L
BA04-22	0.2764	6.6737	33.3686	mg/L
BB10-22	0.2587	5.8943	29.4715	mg/L
BC06-22	0.2548	5.7317	28.6585	mg/L
BD14-22	0.2195	4.3765	21.8825	mg/L
BA04-7	0.1879	3.2998	16.4988	mg/L
BB10-7	0.2186	4.3443	21.7213	mg/L
BC06-7	0.1896	3.3551	16.7753	mg/L
BD07-7	0.1715	2.7794	13.8969	mg/L
BA01-7	0.1853	3.2157	16.0784	mg/L
BB02-7	0.2187	4.3478	21.7392	mg/L
BC15-7	0.1865	3.2544	16.2720	mg/L
BD14-7	0.1768	2.9450	14.7251	mg/L
BA09-7	0.1801	3.0493	15.2467	mg/L
BB13-7	0.2124	4.1250	20.6248	mg/L
BC08-7	0.1860	3.2383	16.1913	mg/L
BD03-7	0.1600	2.4277	12.1384	mg/L
RE03-64	0.3426	10.7969	53.9844	mg/L
BE12-64	0.3352	10.1446	50.7231	mg/L
BE11-64	0.2961	7.6424	38.2120	mg/L
BA01-64	0.2649	6.1592	30.7958	mg/L
BA04-64	0.2488	5.4872	27.4361	mg/L
BA09-64	0.2994	7.8181	39.0905	mg/L
RA12-64	0.2482	5.4631	27.3156	mg/L
RA05-64	0.2501	5.5396	27.6981	mg/L
RA01-64	0.2479	5.4511	27.2555	mg/L
RA01-41	0.2802	6.8512	34.2560	mg/L
RA05-41	0.2862	7.1400	35.6999	mg/L
RA12-41	0.2899	7.3237	36.6186	mg/L
RA01-48	0.3059	8.1781	40.8904	mg/L
RA12-48	0.3118	8.5231	42.6155	mg/L
RA05-48	0.3232	9.2519	46.2594	mg/L
RA12-55	0.3136	8.6323	43.1615	mg/L
RA01-55	0.3102	8.4276	42.1382	mg/L
RA05-55	0.2875	7.2040	36.0201	mg/L
BB10-36	0.2228	4.4955	22.4776	mg/L
BC08-36	0.2065	3.9204	19.6022	mg/L
BD03-36	0.1643	2.5580	12.7899	mg/L
BE05-36	0.3203	9.0575	45.2874	mg/L
BB02-36	0.2297	4.7490	23.7450	mg/L
BC15-36	0.2003	3.7096	18.5482	mg/L
BD07-36	0.1568	2.3316	11.6580	mg/L
BB13-36	0.2344	4.9255	24.6273	mg/L
BC06-36	0.2066	3.9239	19.6194	mg/L
BD14-36	0.1584	2.3795	11.8977	mg/L
RB14-36	0.2582	5.8733	29.3664	mg/L
RC13-36	0.2487	5.4832	27.4160	mg/L
RD06-36	0.1620	2.4881	12.4406	mg/L
RE11-36	0.3319	9.8824	49.4121	mg/L
RB07-36	0.2435	5.2765	26.3827	mg/L
RC09-36	0.2422	5.2256	26.1279	mg/L
RD08-36	0.2055	3.8862	19.4308	mg/L
RE04-36	0.3226	9.2111	46.0555	mg/L
RB02-36	0.2338	4.9028	24.5138	mg/L
RC15-36	0.2148	4.2093	21.0466	mg/L
RD10-36	0.1565	2.3226	11.6132	mg/L
4 mg/L K	0.1986	3.6525	3.6525	mg/L
